,day,start,end,start_action,start_price,end_action,end_price
0,1.0,90.0,103.0,-1.0,325.85,1.0,326.3
0,3.0,106.0,115.0,1.0,331.2,-1.0,331.45
1,3.0,115.0,124.0,1.0,331.45,-1.0,331.25
2,3.0,197.0,206.0,1.0,332.0,-1.0,332.1
3,3.0,208.0,217.0,1.0,332.45,-1.0,332.6
4,3.0,243.0,252.0,1.0,332.25,-1.0,332.25
5,3.0,264.0,273.0,1.0,331.3,-1.0,330.3
6,3.0,274.0,283.0,1.0,330.4,-1.0,330.25
7,3.0,311.0,320.0,1.0,331.6,-1.0,331.75
8,3.0,324.0,333.0,1.0,331.75,-1.0,331.55
0,4.0,35.0,44.0,1.0,332.95,-1.0,332.95
1,4.0,46.0,55.0,1.0,332.7,-1.0,333.25
2,4.0,55.0,64.0,1.0,333.25,-1.0,333.0
3,4.0,65.0,74.0,1.0,333.25,-1.0,332.75
4,4.0,75.0,84.0,1.0,332.75,-1.0,332.8
5,4.0,84.0,93.0,1.0,332.8,-1.0,333.0
6,4.0,107.0,116.0,1.0,332.15,-1.0,332.35
7,4.0,127.0,136.0,1.0,332.25,-1.0,332.2
8,4.0,159.0,168.0,1.0,332.0,-1.0,332.35
9,4.0,181.0,190.0,1.0,332.2,-1.0,332.25
10,4.0,240.0,249.0,1.0,332.3,-1.0,332.25
11,4.0,264.0,273.0,1.0,332.1,-1.0,331.7
12,4.0,279.0,288.0,1.0,331.3,-1.0,331.55
13,4.0,312.0,321.0,1.0,331.05,-1.0,331.45
0,5.0,46.0,55.0,1.0,330.55,-1.0,330.75
1,5.0,57.0,66.0,1.0,330.75,-1.0,330.65
2,5.0,210.0,219.0,1.0,328.9,-1.0,329.25
3,5.0,254.0,263.0,1.0,329.8,-1.0,329.5
0,10.0,116.0,125.0,1.0,330.2,-1.0,330.35
0,11.0,32.0,41.0,1.0,332.2,-1.0,332.0
1,11.0,46.0,55.0,1.0,331.15,-1.0,331.35
2,11.0,61.0,70.0,1.0,331.7,-1.0,331.15
3,11.0,346.0,355.0,1.0,330.35,-1.0,330.7
0,13.0,69.0,78.0,1.0,326.3,-1.0,325.75
0,15.0,31.0,40.0,1.0,333.2,-1.0,332.3
1,15.0,40.0,49.0,1.0,332.3,-1.0,332.1
2,15.0,50.0,59.0,1.0,332.15,-1.0,331.75
3,15.0,70.0,79.0,1.0,331.85,-1.0,332.1
4,15.0,91.0,100.0,1.0,331.7,-1.0,331.6
5,15.0,216.0,225.0,1.0,332.15,-1.0,332.0
0,16.0,31.0,40.0,1.0,332.85,-1.0,332.7
1,16.0,44.0,53.0,1.0,332.7,-1.0,333.35
2,16.0,53.0,62.0,1.0,333.35,-1.0,333.35
3,16.0,63.0,72.0,1.0,333.4,-1.0,333.35
4,16.0,73.0,82.0,1.0,333.45,-1.0,333.95
5,16.0,82.0,91.0,1.0,333.95,-1.0,334.55
6,16.0,91.0,100.0,1.0,334.55,-1.0,334.4
7,16.0,100.0,109.0,1.0,334.4,-1.0,334.7
8,16.0,109.0,118.0,1.0,334.7,-1.0,334.85
9,16.0,118.0,127.0,1.0,334.85,-1.0,334.6
10,16.0,127.0,136.0,1.0,334.6,-1.0,334.3
11,16.0,136.0,145.0,1.0,334.3,-1.0,334.6
12,16.0,145.0,154.0,1.0,334.6,-1.0,334.8
13,16.0,154.0,163.0,1.0,334.8,-1.0,334.9
